b_3	a_3	x_3	y_3		Forward info on b and a per 3 sink:			period 3 sink + tangent together:		-0.27695,1.2059761555840738
-0.2999 ,	1.173198507953394 ,	-0.02657353254957902 ,	-0.7497528011518759 ,		b	a	x	y		
-0.30399999999999955 ,	1.1675531175893432 ,	-0.027358642644024416 ,	-0.7486774965487467 ,		-0.29595	1.178697775	-0.02583264948	-0.7507584787		
-0.30404999999999954 ,	1.1674846659420102 ,	-0.02736831918474505 ,	-0.748664185102307 ,		-0.2959	1.178767766	-0.0258233679	-0.7507710186		
-0.30409999999999954 ,	1.167416223806657 ,	-0.027377998194589904 ,	-0.7486508688814245 ,		-0.29585	1.178837766	-0.02581408872	-0.7507835538		
-0.30414999999999953 ,	1.1673477911833752 ,	-0.027387679673944832 ,	-0.7486375478859875 ,		-0.2958	1.178907775	-0.02580481195	-0.7507960842		
-0.3041999999999995 ,	1.1672793680723543 ,	-0.027397363623181695 ,	-0.7486242221158409 ,		-0.29575	1.178977795	-0.02579553759	-0.7508086099		
-0.3042499999999995 ,	1.1672109544737235 ,	-0.027407050042681617 ,	-0.7486108915708541 ,		-0.2957	1.179047823	-0.02578626563	-0.7508211309		
-0.3042999999999995 ,	1.1671425503875952 ,	-0.027416738932829057 ,	-0.7485975562509083 ,		-0.29565	1.179117861	-0.0257769961	-0.7508336476		
-0.3043499999999995 ,	1.1670741558141438 ,	-0.02742643029399628 ,	-0.7485842161558575 ,		-0.2956	1.179187909	-0.02576772893	-0.7508461585		
-0.3043999999999995 ,	1.167005770753536 ,	-0.02743612412655988 ,	-0.7485708712855562 ,		-0.29555	1.179257966	-0.02575846418	-0.7508586652		
-0.3044499999999995 ,	1.1669373952059028 ,	-0.027445820430899475 ,	-0.7485575216398775 ,		-0.2955	1.179328032	-0.02574920184	-0.7508711672		
-0.3044999999999995 ,	1.1668690291713613 ,	-0.027455519207398388 ,	-0.7485441672186993 ,		-0.29545	1.179398108	-0.0257399419	-0.7508836644		
-0.3045499999999995 ,	1.1668006726501003 ,	-0.02746522045642724 ,	-0.7485308080218691 ,		-0.2954	1.179468194	-0.02573068437	-0.7508961568		
-0.3045999999999995 ,	1.1667323256422182 ,	-0.02747492417837176 ,	-0.7485174440492733 ,		-0.29535	1.179538289	-0.02572142923	-0.7509086445		
-0.3046499999999995 ,	1.1666639881479233 ,	-0.02748463037359949 ,	-0.7485040753007534 ,		-0.2953	1.179608394	-0.02571217651	-0.7509211275		
-0.30469999999999947 ,	1.1665956601673095 ,	-0.02749433904249719 ,	-0.7484907017761938 ,		-0.29525	1.179678508	-0.02570292618	-0.7509336057		
-0.30474999999999947 ,	1.1665273417005435 ,	-0.02750405018544042 ,	-0.7484773234754574 ,		-0.2952	1.179748631	-0.02569367825	-0.7509460792		
-0.30479999999999946 ,	1.1664590327477469 ,	-0.02751376380280902 ,	-0.748463940398419 ,		-0.29515	1.179818764	-0.02568443274	-0.7509585483		
-0.30484999999999945 ,	1.166390733309079 ,	-0.027523479894979105 ,	-0.748450552544941 ,		-0.2951	1.179888906	-0.0256751896	-0.7509710119		
-0.30489999999999945 ,	1.1663224433847095 ,	-0.02753319846232487 ,	-0.7484371599148804 ,		-0.29505	1.179959058	-0.02566594888	-0.7509834711		
-0.30494999999999944 ,	1.1662541629747487 ,	-0.02754291950522854 ,	-0.7484237625081203 ,		-0.295	1.18002922	-0.02565671056	-0.7509959256		
-0.30499999999999944 ,	1.1661858920793797 ,	-0.02755264302406306 ,	-0.7484103603245147 ,		-0.29495	1.180099391	-0.02564747463	-0.7510083753		
-0.30504999999999943 ,	1.166117630698699 ,	-0.027562369019213363 ,	-0.7483969533639492 ,		-0.2949	1.180169571	-0.02563824111	-0.7510208203		
-0.3050999999999994 ,	1.166049378832914 ,	-0.027572097491046322 ,	-0.7483835416262694 ,		-0.29485	1.180239761	-0.02562900998	-0.7510332605		
-0.3051499999999994 ,	1.165981136482126 ,	-0.02758182843994664 ,	-0.74837012511136 ,		-0.2948	1.18030996	-0.02561978126	-0.751045696		
-0.3051999999999994 ,	1.1659129036464662 ,	-0.027591561866294544 ,	-0.7483567038190979 ,		-0.29475	1.180380169	-0.02561055493	-0.7510581268		
-0.3052499999999994 ,	1.1658446803261393 ,	-0.027601297770456446 ,	-0.7483432777493294 ,		-0.2947	1.180450388	-0.025601331	-0.7510705528		
-0.3052999999999994 ,	1.1657764665212167 ,	-0.027611036152822954 ,	-0.7483298469019507 ,		-0.29465	1.180520615	-0.02559210946	-0.751082974		
-0.3053499999999994 ,	1.1657082622318962 ,	-0.027620777013761477 ,	-0.7483164112768137 ,		-0.2946	1.180590853	-0.02558289032	-0.7510953905		
-0.3053999999999994 ,	1.165640067458335 ,	-0.027630520353648637 ,	-0.7483029708737803 ,		-0.29455	1.180661099	-0.02557367358	-0.7511078023		
