b_3	a_3	x_3	y_3		Forward info on b and a per 3 sink:			period 3 sink + tangent together:		-0.27695,1.2059761555840738
-0.2999 ,	1.173198507953394 ,	-0.02657353254957902 ,	-0.7497528011518759 ,		b	a	x	y		
-0.6100499999999659 ,	0.9301964117315152 ,	-0.13794647049863104 ,	-0.5868084477126057 ,							
-0.6100999999999659 ,	0.9301872146302629 ,	-0.1379715764294514 ,	-0.5867723674684195 ,							
-0.6101499999999659 ,	0.9301780420003266 ,	-0.1379966786722863 ,	-0.5867362777902956 ,							
-0.6101999999999659 ,	0.9301688729673144 ,	-0.13802178791044983 ,	-0.5867001928247215 ,							
-0.6102499999999659 ,	0.9301597039343023 ,	-0.13804689714861337 ,	-0.5866641078591475 ,							
-0.6102999999999659 ,	0.9301505593665153 ,	-0.13807200268555672 ,	-0.5866280134626005 ,							
-0.6103499999999659 ,	0.9301414183992069 ,	-0.13809711522325463 ,	-0.5865919237831674 ,							
-0.6103999999999659 ,	0.9301322774318986 ,	-0.13812222776095254 ,	-0.5865558341037342 ,							
-0.6104499999999659 ,	0.9301231609236886 ,	-0.13814733658420922 ,	-0.5865197349963098 ,							
-0.6104999999999658 ,	0.9301140480195365 ,	-0.13817245241366716 ,	-0.5864836406105751 ,							
-0.6105499999999658 ,	0.9301049351153843 ,	-0.1381975682431251 ,	-0.5864475462248404 ,							
-0.6105999999999658 ,	0.9300958466641762 ,	-0.13822268034484483 ,	-0.58641144241404 ,							
-0.6106499999999658 ,	0.9300867618206162 ,	-0.1382477994582355 ,	-0.5863753433295242 ,							
-0.6106999999999658 ,	0.9300776769770562 ,	-0.13827291857162619 ,	-0.5863392442450085 ,							
-0.6107499999999658 ,	0.9300686165803187 ,	-0.13829803394404666 ,	-0.5863031357383932 ,							
-0.6107999999999658 ,	0.9300595597947839 ,	-0.13832315633355763 ,	-0.5862670319626273 ,							
-0.6108499999999658 ,	0.9300505030092492 ,	-0.1383482787230686 ,	-0.5862309281868614 ,							
-0.6108999999999658 ,	0.9300414706644333 ,	-0.13837339735840765 ,	-0.5861948149919809 ,							
-0.6109499999999658 ,	0.9300324419343933 ,	-0.13839852301626776 ,	-0.5861587065325207 ,							
-0.6109999999999658 ,	0.9300234132043532 ,	-0.13842364867412787 ,	-0.5861225980730604 ,							
-0.6110499999999658 ,	0.930014408908852 ,	-0.13844877056450083 ,	-0.5860864801973961 ,							
-0.6110999999999658 ,	0.9300054082317387 ,	-0.13847389948287844 ,	-0.586050367061757 ,							
-0.6111499999999658 ,	0.9299964075546254 ,	-0.13849902840125605 ,	-0.5860142539261178 ,							
-0.6111999999999658 ,	0.9299874313058993 ,	-0.13852415353889877 ,	-0.5859781313772308 ,							
-0.6112499999999658 ,	0.9299784586791413 ,	-0.13854928570998737 ,	-0.5859420135729497 ,							
-0.6112999999999658 ,	0.9299694860523833 ,	-0.13857441788107597 ,	-0.5859058957686687 ,							
-0.6113499999999658 ,	0.9299605378478818 ,	-0.13859954625817697 ,	-0.5858697685540828 ,							
-0.6113999999999657 ,	0.9299515932689149 ,	-0.1386246816741511 ,	-0.5858336460886786 ,							
-0.6114499999999657 ,	0.9299426486899479 ,	-0.13864981709012522 ,	-0.5857975236232744 ,							
-0.6114999999999657 ,	0.9299337285271202 ,	-0.1386749486988933 ,	-0.5857613917505323 ,							
-0.6115499999999657 ,	0.9299248119933914 ,	-0.13870008735195588 ,	-0.5857252646315431 ,							
-0.6115999999999657 ,	0.9299158954596626 ,	-0.13872522600501846 ,	-0.5856891375125538 ,							
-0.6116499999999657 ,	0.92990700333591 ,	-0.13875036083761638 ,	-0.5856530009891707 ,							
-0.6116999999999657 ,	0.9298981148448577 ,	-0.13877550271995073 ,	-0.5856168692241228 ,							
-0.6117499999999657 ,	0.9298892263538054 ,	-0.13880064460228508 ,	-0.5855807374590749 ,							
-0.6117999999999657 ,	0.9298803622665648 ,	-0.1388257826508949 ,	-0.5855445962925705 ,							
-0.6118499999999657 ,	0.9298715018156033 ,	-0.1388509277546769 ,	-0.5855084598889866 ,							
-0.6118999999999657 ,	0.9298626413646418 ,	-0.13887607285845888 ,	-0.5854723234854027 ,							
-0.6119499999999657 ,	0.9298538053113777 ,	-0.13890121411528278 ,	-0.5854361776833098 ,							
-0.6119999999999657 ,	0.9298449728979464 ,	-0.13892636243268994 ,	-0.585400036648709 ,							
-0.6120499999999657 ,	0.9298361404845151 ,	-0.1389515107500971 ,	-0.5853638956141082 ,							
-0.6120999999999657 ,	0.9298273324626437 ,	-0.13897665520732455 ,	-0.5853277451839592 ,							
-0.6121499999999657 ,	0.9298185280841791 ,	-0.13900180673054738 ,	-0.5852915995258712 ,							
-0.6121999999999657 ,	0.9298097237057145 ,	-0.1390269582537702 ,	-0.5852554538677831 ,							
-0.6122499999999657 ,	0.929800943712649 ,	-0.13905210590356704 ,	-0.58521929881709 ,							
-0.6122999999999656 ,	0.9297921673665832 ,	-0.13907726062478276 ,	-0.5851831485430351 ,							
-0.6123499999999656 ,	0.9297833910205174 ,	-0.1391024153459985 ,	-0.5851469982689802 ,							
-0.6123999999999656 ,	0.9297746390536847 ,	-0.1391275661805408 ,	-0.58511083860526 ,							
-0.6124499999999656 ,	0.9297658907374216 ,	-0.1391527240918965 ,	-0.5850746837227392 ,							
-0.6124999999999656 ,	0.9297571424211584 ,	-0.13917788200325218 ,	-0.5850385288402183 ,							
-0.6125499999999656 ,	0.9297484184780292 ,	-0.13920303601478215 ,	-0.5850023645710313 ,							
-0.6125999999999656 ,	0.9297396981890274 ,	-0.13922819710850343 ,	-0.5849662050875959 ,							
-0.6126499999999656 ,	0.9297309779000255 ,	-0.1392533582022247 ,	-0.5849300456041605 ,							
-0.6126999999999656 ,	0.9297222819779687 ,	-0.13927851538281166 ,	-0.5848938767369515 ,							
-0.6127499999999656 ,	0.9297135897136383 ,	-0.13930367965105298 ,	-0.5848577126601064 ,							
-0.6127999999999656 ,	0.9297048974493078 ,	-0.1393288439192943 ,	-0.5848215485832614 ,							
-0.6128499999999656 ,	0.9296962295457604 ,	-0.13935400426116465 ,	-0.5847853751255854 ,							
-0.6128999999999656 ,	0.9296875653035237 ,	-0.13937917169609995 ,	-0.5847492064628479 ,							
-0.6129499999999656 ,	0.929678901061287 ,	-0.13940433913103525 ,	-0.5847130378001104 ,							
-0.6129999999999656 ,	0.9296702611736792 ,	-0.13942950262635515 ,	-0.5846768597594731 ,							
-0.6130499999999656 ,	0.9296616249509585 ,	-0.13945467322014635 ,	-0.5846406865183507 ,							
-0.6130999999999656 ,	0.9296529887282378 ,	-0.13947984381393755 ,	-0.5846045132772282 ,							
-0.6131499999999656 ,	0.9296443768539956 ,	-0.13950501045489302 ,	-0.5845683306611537 ,							
-0.6131999999999656 ,	0.9296357686482029 ,	-0.13953018419971475 ,	-0.5845321528491652 ,							
-0.6132499999999655 ,	0.9296271604424101 ,	-0.13955535794453647 ,	-0.5844959750371767 ,							
-0.6132999999999655 ,	0.9296185765789547 ,	-0.13958052772330118 ,	-0.5844597878531789 ,							
-0.6133499999999655 ,	0.9296099963875343 ,	-0.13960570461132307 ,	-0.5844236054778316 ,							
-0.6133999999999655 ,	0.9296014161961138 ,	-0.13963088149934497 ,	-0.5843874231024843 ,							
-0.6134499999999655 ,	0.9295928603408227 ,	-0.13965605440807694 ,	-0.5843512313580741 ,							
-0.6134999999999655 ,	0.929584308161182 ,	-0.13968123443147804 ,	-0.5843150444268912 ,							
-0.6135499999999655 ,	0.9295757559815413 ,	-0.13970641445487914 ,	-0.5842788574957083 ,							
-0.6135999999999655 ,	0.9295672281318518 ,	-0.13973159048572167 ,	-0.5842426611983705 ,							
-0.6136499999999655 ,	0.9295587039613775 ,	-0.13975677363661743 ,	-0.5842064697188283 ,							
-0.6136999999999655 ,	0.9295501797909033 ,	-0.13978195678751318 ,	-0.584170278239286 ,							
-0.6137499999999655 ,	0.9295416799442957 ,	-0.13980713593272734 ,	-0.5841340773965885 ,							
-0.6137999999999655 ,	0.9295331837804351 ,	-0.13983232220335154 ,	-0.5840978813762421 ,							
-0.6138499999999655 ,	0.9295246876165746 ,	-0.13985750847397574 ,	-0.5840616853558956 ,							
-0.6138999999999655 ,	0.929516215770375 ,	-0.1398826907256062 ,	-0.5840254799752713 ,							
-0.6139499999999655 ,	0.9295077476105383 ,	-0.13990788010807487 ,	-0.583989279421592 ,							
-0.6139999999999655 ,	0.9294992794507017 ,	-0.13993306949054354 ,	-0.5839530788679126 ,							
-0.6140499999999655 ,	0.9294908356023486 ,	-0.1399582548408299 ,	-0.5839168689569187 ,							
-0.6140999999999655 ,	0.9294823954439426 ,	-0.1399834473273307 ,	-0.5838806638774328 ,							
-0.6141499999999654 ,	0.9294739552855367 ,	-0.1400086398138315 ,	-0.5838444587979468 ,							
-0.6141999999999654 ,	0.9294655394324475 ,	-0.14003382825488672 ,	-0.5838082443640485 ,							
-0.6142499999999654 ,	0.9294571272728764 ,	-0.1400590238375505 ,	-0.5837720347662391 ,							
-0.6142999999999654 ,	0.9294487151133054 ,	-0.1400842194202143 ,	-0.5837358251684296 ,							
-0.6143499999999654 ,	0.9294403272528906 ,	-0.14010941094426743 ,	-0.5836996062191819 ,							
-0.6143999999999654 ,	0.929431943089572 ,	-0.14013460961528224 ,	-0.5836633921105728 ,							
-0.6144499999999654 ,	0.9294235589262534 ,	-0.14015980828629704 ,	-0.5836271780019637 ,							
-0.6144999999999654 ,	0.9294151990559206 ,	-0.14018500288543623 ,	-0.5835909545448112 ,							
-0.6145499999999654 ,	0.9294068428862527 ,	-0.14021020463693212 ,	-0.5835547359328841 ,							
-0.6145999999999654 ,	0.9293984867165849 ,	-0.14023540638842802 ,	-0.5835185173209569 ,							
-0.6146499999999654 ,	0.9293901548337483 ,	-0.14026060405487326 ,	-0.5834822893634471 ,							
-0.6146999999999654 ,	0.929381826655145 ,	-0.14028580887902065 ,	-0.5834460662557113 ,							
-0.6147499999999654 ,	0.9293734984765417 ,	-0.14031101370316804 ,	-0.5834098431479754 ,							
-0.6147999999999654 ,	0.9293651945785971 ,	-0.14033621442904387 ,	-0.5833736106975836 ,							
-0.6148499999999654 ,	0.929356894388463 ,	-0.14036142231799464 ,	-0.5833373831015355 ,							
-0.6148999999999654 ,	0.9293485941983289 ,	-0.14038663020694542 ,	-0.5833011555054873 ,							
-0.6149499999999654 ,	0.929340318282681 ,	-0.14041183398441218 ,	-0.583264918569714 ,							
-0.6149999999999654 ,	0.9293320460784195 ,	-0.1404370449303225 ,	-0.5832286864928528 ,							
-0.6150499999999653 ,	0.9293237738741579 ,	-0.14046225587623282 ,	-0.5831924544159915 ,							
-0.6150999999999653 ,	0.9293155259382071 ,	-0.14048746269744056 ,	-0.5831562130023293 ,							
-0.6151499999999653 ,	0.9293072817172181 ,	-0.14051267669245437 ,	-0.583119976452145 ,							
-0.6151999999999653 ,	0.9292990374962291 ,	-0.1405378906874682 ,	-0.5830837399019606 ,							
-0.6152499999999653 ,	0.9292908175373807 ,	-0.14056310054458687 ,	-0.5830474940179158 ,							
-0.6152999999999653 ,	0.9292826012970755 ,	-0.14058831758086898 ,	-0.5830112530019115 ,							
-0.6153499999999653 ,	0.9292743850567703 ,	-0.1406135346171511 ,	-0.5829750119859072 ,							
-0.6153999999999653 ,	0.9292661930724075 ,	-0.14063874750229935 ,	-0.5829387616389501 ,							
-0.6154499999999653 ,	0.9292580048101741 ,	-0.1406639675719833 ,	-0.5829025161646088 ,							
-0.6154999999999653 ,	0.9292498165479406 ,	-0.14068918764166724 ,	-0.5828662706902674 ,							
-0.6155499999999653 ,	0.929241652535481 ,	-0.14071440354703083 ,	-0.5828300158879134 ,							
-0.6155999999999653 ,	0.9292334922487315 ,	-0.1407396266422813 ,	-0.5827937659627361 ,							
-0.6156499999999653 ,	0.9292253319619821 ,	-0.14076484973753176 ,	-0.5827575160375589 ,							
-0.6156999999999653 ,	0.9292171959188 ,	-0.14079006865522195 ,	-0.5827212567872729 ,							
-0.6157499999999653 ,	0.9292090636049198 ,	-0.14081529476816926 ,	-0.5826850024187392 ,							
-0.6157999999999653 ,	0.9292009312910396 ,	-0.14084052088111657 ,	-0.5826487480502055 ,							
-0.6158499999999653 ,	0.9291928232145475 ,	-0.14086574280331787 ,	-0.5826124843595016 ,							
-0.6158999999999653 ,	0.9291847188709302 ,	-0.14089097192611688 ,	-0.5825762255551081 ,							
-0.6159499999999652 ,	0.9291766145273129 ,	-0.1409162010489159 ,	-0.5825399667507146 ,							
-0.6159999999999652 ,	0.9291685344149131 ,	-0.14094142596775336 ,	-0.5825036986270608 ,							
-0.6160499999999652 ,	0.9291604580389506 ,	-0.14096665809253406 ,	-0.5824674353942834 ,							
-0.6160999999999652 ,	0.9291523816629882 ,	-0.14099189021731476 ,	-0.582431172161506 ,							
-0.6161499999999652 ,	0.9291443295120769 ,	-0.14101711812496334 ,	-0.5823948996124106 ,							
-0.6161999999999652 ,	0.9291362811011712 ,	-0.14104235324388625 ,	-0.582358631958747 ,							
-0.6162499999999652 ,	0.9291282326902655 ,	-0.14106758836280917 ,	-0.5823223643050834 ,							
-0.6162999999999652 ,	0.9291202084982095 ,	-0.14109281925138095 ,	-0.5822860873380112 ,							
-0.6163499999999652 ,	0.9291121880497613 ,	-0.14111805735658112 ,	-0.5822498152709378 ,							
-0.6163999999999652 ,	0.929104167601313 ,	-0.14114329546178128 ,	-0.5822135432038643 ,							
-0.6164499999999652 ,	0.9290961713654977 ,	-0.14116852932342322 ,	-0.5821772618263034 ,							
-0.6164999999999652 ,	0.9290881788768854 ,	-0.14119377040704298 ,	-0.5821409853533069 ,							
-0.6165499999999652 ,	0.9290801863882732 ,	-0.14121901149066274 ,	-0.5821047088803105 ,							
-0.6165999999999652 ,	0.9290722181061064 ,	-0.14124424831751442 ,	-0.5820684230997354 ,							
-0.6166499999999652 ,	0.9290642535747097 ,	-0.14126949237168282 ,	-0.5820321422282917 ,							
-0.6166999999999652 ,	0.9290562890433129 ,	-0.14129473642585122 ,	-0.581995861356848 ,							
-0.6167499999999652 ,	0.9290483487121975 ,	-0.14131997621007839 ,	-0.581959571180755 ,							
-0.6167999999999652 ,	0.929040412135402 ,	-0.14134522322692977 ,	-0.5819232859183411 ,							
-0.6168499999999651 ,	0.9290324755586065 ,	-0.14137047024378116 ,	-0.5818870006559271 ,							
-0.6168999999999651 ,	0.9290245631759276 ,	-0.14139571297752987 ,	-0.5818507060918003 ,							
-0.6169499999999651 ,	0.9290166545511379 ,	-0.14142096294921658 ,	-0.581814416445903 ,							
-0.6169999999999651 ,	0.9290087459263482 ,	-0.14144621292090329 ,	-0.5817781268000057 ,							
-0.6170499999999651 ,	0.9290008614894619 ,	-0.14147145859627774 ,	-0.5817418278553017 ,							
-0.6170999999999651 ,	0.9289929808140527 ,	-0.14149671151492138 ,	-0.5817055338333885 ,							
-0.6171499999999651 ,	0.9289851001386434 ,	-0.14152196443356502 ,	-0.5816692398114753 ,							
-0.6171999999999651 ,	0.9289772436449522 ,	-0.1415472130427296 ,	-0.5816329364936881 ,							
-0.6172499999999651 ,	0.9289693909163319 ,	-0.1415724689004938 ,	-0.581596638103252 ,							
-0.6172999999999651 ,	0.9289615381877117 ,	-0.141597724758258 ,	-0.581560339712816 ,							
-0.6173499999999651 ,	0.9289537096345422 ,	-0.1416229762932939 ,	-0.5815240320293887 ,							
-0.6173999999999651 ,	0.9289458848500641 ,	-0.14164823508228086 ,	-0.5814877292778856 ,							
-0.6174499999999651 ,	0.9289380600655861 ,	-0.14167349387126782 ,	-0.5814514265263825 ,							
-0.6174999999999651 ,	0.9289302594503928 ,	-0.14169874832435922 ,	-0.5814151144848102 ,							
-0.6175499999999651 ,	0.9289224626074375 ,	-0.14172401003670831 ,	-0.5813788073797186 ,							
-0.6175999999999651 ,	0.9289146657644822 ,	-0.1417492717490574 ,	-0.581342500274627 ,							
-0.6176499999999651 ,	0.9289068930846324 ,	-0.14177452911233385 ,	-0.581306183882381 ,							
-0.617699999999965 ,	0.9288991241805834 ,	-0.1417997937401756 ,	-0.58126987243117 ,							
-0.617749999999965 ,	0.9288913552765344 ,	-0.14182505836801734 ,	-0.581233560979959 ,							
-0.617799999999965 ,	0.9288836105293979 ,	-0.1418503186336123 ,	-0.5811972402445117 ,							
-0.617849999999965 ,	0.9288758695616345 ,	-0.14187558616906726 ,	-0.5811609244546443 ,							
-0.617899999999965 ,	0.928868128593871 ,	-0.1419008537045222 ,	-0.5811246086647769 ,							
-0.617949999999965 ,	0.9288604117768277 ,	-0.14192611686457973 ,	-0.5810882835936058 ,							
-0.617999999999965 ,	0.9288526987427493 ,	-0.14195138729981552 ,	-0.581051963472575 ,							
-0.618049999999965 ,	0.928844985708671 ,	-0.1419766577350513 ,	-0.5810156433515443 ,							
-0.618099999999965 ,	0.9288372968190518 ,	-0.14200192378162535 ,	-0.5809793139520657 ,							
-0.618149999999965 ,	0.9288296117160125 ,	-0.1420271971087267 ,	-0.5809429895073095 ,							
-0.618199999999965 ,	0.9288219266129732 ,	-0.14205247043582803 ,	-0.5809066650625533 ,							
-0.618249999999965 ,	0.9288142656481922 ,	-0.14207773936113455 ,	-0.580870331342293 ,							
-0.618299999999965 ,	0.9288066084735717 ,	-0.14210301557225796 ,	-0.5808340025812986 ,							
-0.618349999999965 ,	0.9287989512989511 ,	-0.14212829178338138 ,	-0.5807976738203041 ,							
-0.618399999999965 ,	0.9287913182563798 ,	-0.1421535635794812 ,	-0.5807613357866732 ,							
-0.618449999999965 ,	0.9287836890075221 ,	-0.1421788426666981 ,	-0.580725002716868 ,							
-0.618499999999965 ,	0.9287760597586643 ,	-0.14220412175391503 ,	-0.5806886696470628 ,							
-0.618549999999965 ,	0.9287684546357218 ,	-0.14222939641305032 ,	-0.5806523273076044 ,							
-0.618599999999965 ,	0.9287608533100504 ,	-0.14225467836856262 ,	-0.5806159899365011 ,							
-0.618649999999965 ,	0.9287532519843791 ,	-0.14227996032407492 ,	-0.5805796525653978 ,							
-0.618699999999965 ,	0.9287456747783359 ,	-0.14230523783821422 ,	-0.5805433059274695 ,							
-0.6187499999999649 ,	0.928738101373186 ,	-0.14233052265408264 ,	-0.5805069642624859 ,							
-0.6187999999999649 ,	0.9287305279680361 ,	-0.14235580746995105 ,	-0.5804706225975024 ,							
-0.6188499999999649 ,	0.9287229786763409 ,	-0.14238108783133674 ,	-0.5804342716686408 ,							
-0.6188999999999649 ,	0.9287154331890933 ,	-0.14240637549971777 ,	-0.580397925717261 ,							
-0.6189499999999649 ,	0.9287078877018458 ,	-0.1424316631680988 ,	-0.5803615797658812 ,							
-0.6189999999999649 ,	0.9287003663218334 ,	-0.1424569463687922 ,	-0.5803252245535017 ,							
-0.6190499999999649 ,	0.9286928487498567 ,	-0.14248223688178516 ,	-0.5802888743231658 ,							
-0.6190999999999649 ,	0.92868533117788 ,	-0.14250752739477812 ,	-0.5802525240928299 ,							
-0.6191499999999649 ,	0.9286778377069187 ,	-0.14253281342694266 ,	-0.5802161646044213 ,							
-0.6191999999999649 ,	0.9286703480475746 ,	-0.14255810677668324 ,	-0.580179810102599 ,							
-0.6192499999999649 ,	0.9286628583882306 ,	-0.14258340012642381 ,	-0.5801434556007767 ,							
-0.6192999999999649 ,	0.928655392823696 ,	-0.14260868898215065 ,	-0.5801070918437661 ,							
-0.6193499999999649 ,	0.9286479310743508 ,	-0.14263398516074255 ,	-0.5800707330778998 ,							
-0.6193999999999649 ,	0.9286404693250057 ,	-0.14265928133933445 ,	-0.5800343743120335 ,							
-0.6194499999999649 ,	0.9286330316642626 ,	-0.14268457301077184 ,	-0.5799980062938964 ,							
-0.6194999999999649 ,	0.9286255978222867 ,	-0.14270987201034757 ,	-0.5799616432714492 ,							
-0.6195499999999649 ,	0.9286181639803108 ,	-0.1427351710099233 ,	-0.5799252802490019 ,							
-0.6195999999999648 ,	0.9286107542207116 ,	-0.14276046548915985 ,	-0.5798889079771677 ,							
-0.6196499999999648 ,	0.9286033482834549 ,	-0.14278576730181858 ,	-0.5798525407055798 ,							
-0.6196999999999648 ,	0.9285959423461982 ,	-0.1428110691144773 ,	-0.5798161734339918 ,							
-0.6197499999999648 ,	0.9285885604851194 ,	-0.14283636639367456 ,	-0.5797797969159425 ,							
-0.6197999999999648 ,	0.9285811824499698 ,	-0.14286167101156022 ,	-0.5797434254026798 ,							
-0.6198499999999648 ,	0.9285738044148202 ,	-0.14288697562944588 ,	-0.579707053889417 ,							
-0.6198999999999648 ,	0.9285664504495843 ,	-0.14291227570065362 ,	-0.5796706731325556 ,							
-0.6199499999999648 ,	0.9285591003138757 ,	-0.1429375831158467 ,	-0.5796342973850453 ,							
-0.6199999999999648 ,	0.928551750178167 ,	-0.14296289053103978 ,	-0.5795979216375351 ,							
-0.6200499999999648 ,	0.928544424106183 ,	-0.14298819338644597 ,	-0.5795615366493544 ,							
-0.6200999999999648 ,	0.928537101867298 ,	-0.14301350359109255 ,	-0.5795251566750637 ,							
-0.6201499999999648 ,	0.928529779628413 ,	-0.14303881379573913 ,	-0.5794887767007729 ,							
-0.6201999999999648 ,	0.9285224814469887 ,	-0.1430641194273976 ,	-0.5794523874886804 ,							
-0.6202499999999648 ,	0.9285151871022501 ,	-0.14308943241357897 ,	-0.5794160032950374 ,							
-0.6202999999999648 ,	0.9285078927575116 ,	-0.14311474539976032 ,	-0.5793796191013943 ,							
-0.6203499999999648 ,	0.9285006224640747 ,	-0.14314005379984618 ,	-0.5793432256728663 ,							
-0.6203999999999648 ,	0.9284933560108587 ,	-0.14316536955969283 ,	-0.5793068372673251 ,							
-0.6204499999999648 ,	0.9284860895576427 ,	-0.1431906853195395 ,	-0.5792704488617839 ,							
-0.6204999999999647 ,	0.928478847149504 ,	-0.14321599648013542 ,	-0.5792340512242486 ,							
-0.6205499999999647 ,	0.9284716085851794 ,	-0.1432413150057607 ,	-0.5791976586142499 ,							
-0.6205999999999647 ,	0.9284643700208548 ,	-0.143266633531386 ,	-0.5791612660042511 ,							
-0.6206499999999647 ,	0.9284571554953518 ,	-0.1432919474445896 ,	-0.5791248641651414 ,							
-0.6206999999999647 ,	0.9284499448172605 ,	-0.14331726872809766 ,	-0.579088467358124 ,							
-0.6207499999999647 ,	0.9284427341391692 ,	-0.14334259001160574 ,	-0.5790520705511066 ,							
-0.6207999999999647 ,	0.9284355474936777 ,	-0.14336790666954208 ,	-0.5790156645178675 ,							
-0.6208499999999647 ,	0.9284283646991673 ,	-0.14339323070303772 ,	-0.5789792635212686 ,							
-0.6208999999999647 ,	0.928421181904657 ,	-0.14341855473653337 ,	-0.5789428625246698 ,							
-0.6209499999999647 ,	0.9284140231365311 ,	-0.14344387413132953 ,	-0.5789064523047505 ,							
-0.6209999999999647 ,	0.9284068682229655 ,	-0.1434692009069297 ,	-0.5788700471260115 ,							
-0.6210499999999647 ,	0.9283997133093999 ,	-0.14349452768252985 ,	-0.5788336419472726 ,							
-0.6210999999999647 ,	0.9283925824159779 ,	-0.1435198498062667 ,	-0.5787972275480903 ,							
-0.6211499999999647 ,	0.9283854553807069 ,	-0.14354517931606817 ,	-0.578760818194639 ,							
-0.6211999999999647 ,	0.928378328345436 ,	-0.14357050882586964 ,	-0.5787244088411877 ,							
-0.6212499999999647 ,	0.9283712253240555 ,	-0.14359583367068737 ,	-0.5786879902702043 ,							
-0.6212999999999647 ,	0.9283641261644238 ,	-0.14362116590681584 ,	-0.5786515767494915 ,							
-0.6213499999999647 ,	0.9283570270047921 ,	-0.1436464981429443 ,	-0.5786151632287787 ,							
-0.6213999999999646 ,	0.9283499518528272 ,	-0.14367182570089831 ,	-0.5785787404933789 ,							
-0.6214499999999646 ,	0.9283428805661523 ,	-0.14369716065539806 ,	-0.578542322812796 ,							
-0.6214999999999646 ,	0.9283358092794775 ,	-0.1437224956098978 ,	-0.5785059051322132 ,							
-0.6215499999999646 ,	0.9283287619943202 ,	-0.14374782587323043 ,	-0.5784694782399264 ,							
-0.6215999999999646 ,	0.9283217185780166 ,	-0.14377316353830805 ,	-0.5784330564069707 ,							
-0.6216499999999646 ,	0.928314675161713 ,	-0.14379850120338566 ,	-0.578396634574015 ,							
-0.6216999999999646 ,	0.9283076557405833 ,	-0.14382383416399044 ,	-0.5783602035321298 ,							
-0.6217499999999646 ,	0.928300640191934 ,	-0.14384917453165325 ,	-0.5783237775541672 ,							
-0.6217999999999646 ,	0.9282936246432848 ,	-0.14387451489931605 ,	-0.5782873515762046 ,							
-0.6218499999999646 ,	0.9282866330836484 ,	-0.14389985054949397 ,	-0.5782509163922788 ,							
-0.6218999999999646 ,	0.9282796454000466 ,	-0.14392519361191694 ,	-0.5782144862767847 ,							
-0.6219499999999646 ,	0.9282726577164447 ,	-0.1439505366743399 ,	-0.5781780561612907 ,							
-0.6219999999999646 ,	0.9282656940155526 ,	-0.14397587500604722 ,	-0.5781416168426535 ,							
-0.6220499999999646 ,	0.928258734194313 ,	-0.14400122075528204 ,	-0.5781051825970209 ,							
-0.6220999999999646 ,	0.9282517743730735 ,	-0.14402656650451687 ,	-0.5780687483513883 ,							
-0.6221499999999646 ,	0.9282448385283194 ,	-0.14405190750996144 ,	-0.578032304905535 ,							
-0.6221999999999646 ,	0.9282379065667878 ,	-0.14407725593814302 ,	-0.5779958665372146 ,							
-0.6222499999999646 ,	0.9282309746052563 ,	-0.1441026043663246 ,	-0.5779594281688941 ,							
-0.6222999999999645 ,	0.9282240666139762 ,	-0.14412794803753848 ,	-0.5779229806031946 ,							
-0.6223499999999645 ,	0.9282171625094917 ,	-0.14415329913673094 ,	-0.5778865381195808 ,							
-0.6223999999999645 ,	0.9282102584050073 ,	-0.1441786502359234 ,	-0.577850095635967 ,							
-0.6224499999999645 ,	0.9282033782645427 ,	-0.14420399656508462 ,	-0.5778136439579032 ,							
-0.6224999999999645 ,	0.9281965020144431 ,	-0.14422935032740625 ,	-0.5777771973664336 ,							
-0.6225499999999645 ,	0.9281896257643436 ,	-0.14425470408972788 ,	-0.577740750774964 ,							
-0.6225999999999645 ,	0.9281827734720435 ,	-0.1442800530688891 ,	-0.577704294991915 ,							
-0.6226499999999645 ,	0.9281759250736649 ,	-0.144305409486437 ,	-0.5776678443000087 ,							
-0.6226999999999645 ,	0.9281690766752863 ,	-0.1443307659039849 ,	-0.5776313936081025 ,							
-0.6227499999999645 ,	0.928162252228483 ,	-0.14435611752526015 ,	-0.5775949337274987 ,							
-0.6227999999999645 ,	0.9281554316791789 ,	-0.1443814765901463 ,	-0.5775584789425822 ,							
-0.6228499999999645 ,	0.9281486111298748 ,	-0.14440683565503246 ,	-0.5775220241576656 ,							
-0.6228999999999645 ,	0.9281418145258744 ,	-0.1444321899104919 ,	-0.5774855601869086 ,							
-0.6229499999999645 ,	0.9281350218229696 ,	-0.1444575516147919 ,	-0.5774491013163842 ,							
-0.6229999999999645 ,	0.9281282291200648 ,	-0.1444829133190919 ,	-0.5774126424458598 ,							
-0.6230499999999645 ,	0.9281214603562308 ,	-0.14450827020086784 ,	-0.5773761743923844 ,							
-0.6230999999999645 ,	0.9281146954970628 ,	-0.1445336345366921 ,	-0.5773397114436774 ,							
-0.6231499999999645 ,	0.9281079306378949 ,	-0.14455899887251636 ,	-0.5773032484949703 ,							
-0.6231999999999644 ,	0.9281011897115465 ,	-0.14458435837268935 ,	-0.5772667763661804 ,							
-0.6232499999999644 ,	0.9280944526934686 ,	-0.14460972533212782 ,	-0.5772303093466965 ,							
-0.6232999999999644 ,	0.9280877156753906 ,	-0.1446350922915663 ,	-0.5771938423272126 ,							
-0.6233499999999644 ,	0.9280810025838299 ,	-0.1446604544022351 ,	-0.5771573661305283 ,							
-0.6233999999999644 ,	0.9280742934041464 ,	-0.1446858239773865 ,	-0.5771208950476887 ,							
